iou_mean,iou_std,recall_mean,recall_std,precision_omega_mean,precision_omega_std,precision_mean,precision_std,chunker
0.07158772212989747,0.059808358702538846,0.7536475282552563,0.3976141561294638,0.3362595569023456,0.20016977852470264,0.07247484873715053,0.06096146527435462,CSC_200
0.04124020818037722,0.03672858384372784,0.7787104330667642,0.39348749837208447,0.20561014644151293,0.14311565053898478,0.04138999591398127,0.036853126782000784,CSC_400
0.03107648146748471,0.029416747604105366,0.7862862603087607,0.4016939251584335,0.15506466972043895,0.12099652713950225,0.03110543635861845,0.029440427301321397,CSC_600
0.024756023667957386,0.024262904454436306,0.7670322864406411,0.4138784816442087,0.12001665496421673,0.09718848643359114,0.02476906360579454,0.024263249753735904,CSC_800
0.03509509291477094,0.041106033749302356,0.6809935724707175,0.4482591791899982,0.1601736496213835,0.149388923366773,0.03528145942662022,0.04128181968472227,KMC_200
0.01836739795110868,0.024135171128175186,0.609236473173633,0.47995173952866255,0.09796690852866886,0.10841155137304818,0.018405075505666453,0.02418054145788836,KMC_400
0.013310464920953885,0.0189625531508748,0.6004966905650909,0.48400592459720027,0.07177658179089083,0.08716490339452322,0.013325653620544699,0.01898524594011992,KMC_600
0.011554534526057703,0.01712493697516569,0.6320946550797568,0.4763708856519815,0.05886917429106605,0.08129558412575202,0.011562944156916692,0.017134857171068284,KMC_800
0.08372075014332923,0.07450851137483949,0.724881253676719,0.41040567124915994,0.36900826635701733,0.214668067133021,0.0851644411821547,0.0757005881173601,CSC_CL_200
0.05650097893239678,0.05609431177820515,0.7274727121087795,0.4209093998903,0.24580898812198168,0.18631539085468327,0.05716815955436759,0.057123773615222105,CSC_CL_400
0.04502217037154853,0.04572650225426937,0.7316541323508824,0.42262441826066205,0.18942177420021578,0.15334711463686315,0.04536262656732889,0.04632638931308748,CSC_CL_600
0.036805183331492526,0.04373521200205572,0.6945906291558667,0.4440611201912486,0.15609815799246243,0.14377873713882977,0.03721733981527312,0.04489480009233699,CSC_CL_800
0.03597544767098605,0.05254923696759685,0.6217983563451992,0.46949661008102245,0.15654279364864762,0.16342219128584032,0.036291546826115066,0.05333879896776165,KMC_CL_200
0.02106925603395705,0.03660784678093183,0.6299774338628081,0.47544016489923346,0.08538681993180111,0.10352702819581568,0.02110014997346083,0.03663531703981435,KMC_CL_400
0.01592008367439783,0.031576134825082286,0.6545627319514438,0.46915678319032617,0.06345898780152048,0.08168942361066947,0.01594256061049752,0.03159521957437961,KMC_CL_600
0.011320981807985568,0.016857307604887323,0.6057971477285252,0.4831503568368417,0.05085690036553084,0.072059411035187,0.01133288165996578,0.0168755635128204,KMC_CL_800
